carrera;riasec_string;
Ingeniería Biomédica;IRS;
Ingeniería en Biotecnología;IRC;
Licenciatura en Biología;IR;
Licenciatura en Cirujano Dentista;RI;
Licenciatura en Cultura Física y Deportes;RSE;
Licenciatura en Enfermería;SRC;
Licenciatura en Enfermería Modalidad Mixta (Ejecutiva);SRC;
Licenciatura en Fisioterapia;SR;
Licenciatura en Medicina;ISR;
Licenciatura en Medicina Veterinaria y Zootecnia;RIS;
Licenciatura en Nutrición;SIC;
Licenciatura en Psicología;SI;
Licenciatura en Químico Farmacéutico Biólogo;ICR;
Licenciatura en Ciencias de la Comunicación;ASE;
Licenciatura en Criminología;ISC;
Licenciatura en Derecho;SEC;
Licenciatura en Educación;SE;
Licenciatura en Filosofía;IS;
Licenciatura en Historia;ICS;
Licenciatura en Lengua y Literatura Hispánica;AIS;
Licenciatura en Lenguas Extranjeras;AIS;
Licenciatura en Pedagogía;SC;
Licenciatura en Relaciones Internacionales;ESI;
Licenciatura en Seguridad Pública;RES;
Licenciatura en Sociología;IS;
Licenciatura en Arquitectura;AR;
Licenciatura en Diseño de Interiores;ARE;
Licenciatura en Diseño de Modas;AES;
Licenciatura en Diseño Gráfico y Comunicación Visual;AE;
Licenciatura en Diseño Industrial;ARI;
Licenciatura en Diseño, Animación y Arte Digital;AR;
Licenciatura en Actuaría;CRI;
Licenciatura en Administración de Empresas;ECS;
Licenciatura en Administración de Empresas de Entretenimiento y Comunicación;ESA;
Licenciatura en Administración de Empresas Turísticas;ESC;
Licenciatura en Administración de Recursos Humanos;SEC;
Licenciatura en Administración Financiera;CE;
Licenciatura en Administración Pública;SEC;
Licenciatura en Comercio Internacional;EC;
Licenciatura en Comunicación y Medios;AES;
Licenciatura en Contaduría Pública;CE;
Licenciatura en Contaduría Pública y Finanzas;CE;
Licenciatura en Economía;ICE;
Licenciatura en Economía y Finanzas;CEI;
Licenciatura en Finanzas;CEI;
Licenciatura en Gestión de Ventas y Comercialización;ESC;
Licenciatura en Mercadotecnia;ESA;
Licenciatura en Mercadotecnia Digital y Publicidad;AES;
Licenciatura en Negocios Internacionales;ESC;
Licenciatura en Publicidad y Medios;AES;
Ingeniería Ambiental y Energías Renovables;IRS;
Ingeniería Civil;RIC;
Ingeniería en Ciencia de Datos;ICR;
Ingeniería en Electrónica;RIC;
Ingeniería en Electrónica y Telecomunicaciones;RIC;
Ingeniería en Gestión de Negocios;ECI;
Ingeniería en Logística;CIR;
Ingeniería en Robótica y Sistemas Digitales;RIC;
Ingeniería en Sistemas Computacionales;IRC;
Ingeniería en Sistemas de Software;IRC;
Ingeniería en Videojuegos;AIR;
Ingeniería Industrial y Administración;RCE;
Ingeniería Industrial y de Sistemas;RCI;
Ingeniería Mecatrónica;RIC;
Ingeniería Mecánica;RI;
Ingeniería Química;IRC;
Licenciatura en Física Aplicada;IRC;
Licenciatura en Ingeniería en Tecnologías de la Información;IRC;
Licenciatura en Administración Turística y Reuniones Internacionales;ESC;
Licenciatura en Gastronomía;RAS;
